,Name,URL
361,Restaurant Brands Limited,"['rbi.com', 'burgerking.in', 'restaurantbrands.co.nz', 'restaurantbrands.com']"
362,Rhodes on Cashmere Healthcare Limited,['']
363,Rita Angus Retirement Village Limited,['']
364,Riverlands Eltham Limited,['']
365,Riverlands Limited ,"['riverlandshoes.com', 'riverlandstudios.com', 'riverlandstaffing.com', 'riverlandsports.nl', 'riverlandsheds.com.au']"
366,Riverlands Manawatu Limited,['']
367,Rowena Jackson Retirement Village Limited,['']
368,Ryal Bush Transport Ashburton Limited,['']
369,Ryal Bush Transport Limited,['ryalbushtransport.co.nz']
370,Ryman Cambridge Retirement Village Limited,['']
371,Ryman Healthcare Limited,"['rymanhealthcare.co.nz', 'rymanhealthcare.com.au']"
372,Ryman Napier Limited,['']
373,Ryman Northwood Retirement Village Limited,['']
374,Sanford Fish Market Limited,['']
375,Sanford Limited,"['sanfordhealth.org', 'sanfordfl.gov', 'sanfordhealthplan.com', 'sanfordguide.com', 'sbpdiscovery.org']"
376,Schofield & Co Limited,"['schofieldwatchcompany.com', 'schofieldcapital.com', 'schofieldwi.com', 'schofieldvisioncenter.com', 'jbschofieldandsons.co.uk']"
377,Sealord Group Limited,['sealordhotels.com']
378,Seat Store Limited,['']
379,Shona McFarlane Retirement Village Limited,['']
380,Silver Fern Farms Limited,['silverfernfarms.com']
381,Skellerup Holdings Limited,"['skellerupholdings.com', 'skellerupholdings.co.nz']"
382,Skellerup Industries Limited,"['skellerupfootwear.us', 'skellerupfootwear.com']"
383,Skellerup Rubber Services Limited,['']
384,Skybus NZ Limited,"['skybus.com.au', 'skybizcentre.com', 'skybus.es', 'skybusinesscentres.com', 'skybusinesscenter.com.pa']"
385,SkyCity Entertainment Group Limited,['skycityentertainmentgroup.com']
386,Skycity Management Limited,['']
387,Solora Limited,"['soloracer.com', 'solorace.cl', 'solorad.ie', 'solofabs.co.uk', 'solo-rally.com']"
388,South Pacific Meats Limited,['']
389,Southbound Building Supplies Limited,['']
390,Southern Cross Healthcare Limited,['intellectualdisability.co.nz']
391,Southern Transport Company Limited,['']
392,Southroads Limited,"['southroad.sa.gov.au', 'southroads.co.nz']"
393,Spark New Zealand Limited,['']
394,Spark New Zealand Trading Limited,['']
395,Spectrum Care Limited,"['spectrumcareers.com', 'spectrumcareacademy.com', 'spectrumcare.org.nz', 'spectrumcmc.com', '1300helpers.com']"
396,Spotless Facility Services (NZ) Limited,['spotless-facility-services.com']
397,St Albans Lifecare Limited,['']
398,St Allisa Rest Home (2010) Limited,['']
399,Stanley Building Supplies Limited,['']
